timestamp,temp,humidity,rain,cloud,visibility,sunrise,sunset,pwr
1607972400,26.09,99,0,72,10000,1607988405,1608028621,0
1607976000,24.14,83,0,63,8000,1607988405,1608028621,0
1607979600,24.13,83,0,59,8000,1607988405,1608028621,0
1607983200,23.5,83,0,48,8000,1607988405,1608028621,0
1607986800,22.87,88,0,38,9000,1607988405,1608028621,2.256
1607990400,24.04,88,0,41,9000,1607988405,1608028621,24.808
1607994000,24.3,83,0,7,9000,1607988405,1608028621,58.628
1607997600,27.31,78,0,0,10000,1607988405,1608028621,86.8
1608001200,28.28,69,0,0,10000,1607988405,1608028621,100.764
1608004800,29.5,62,0,20,10000,1607988405,1608028621,88.676
1608008400,30,58,0,20,10000,1607988405,1608028621,68.544
1608012000,30.5,55,0,40,10000,1607988405,1608028621,39.16
1608015600,32.25,55,0,75,10000,1607988405,1608028621,49.868
1608019200,31.82,55,0,75,10000,1607988405,1608028621,45.992
1608022800,32.15,52,0,75,10000,1607988405,1608028621,23.384
1608026400,31.64,55,0,40,10000,1607988405,1608028621,1.884
1608030000,30.13,58,0,40,10000,1607988405,1608028621,0
1608033600,28.65,61,0,20,9000,1607988405,1608028621,0
1608037200,27.61,69,0,39,9000,1607988405,1608028621,0
1608040800,26.93,74,0,0,10000,1607988405,1608028621,0
1608044400,26.31,74,0,0,10000,1607988405,1608028621,0
1608048000,25.87,78,0,45,8000,1607988405,1608028621,0
1608051600,25.22,78,0,36,8000,1608074837,1608115045,0
1608055200,24.34,73,0,31,8000,1608074837,1608115045,0
1608058800,23.7,73,0,0,8000,1608074837,1608115045,0
1608062400,23.04,78,0,0,8000,1608074837,1608115045,0
1608066000,21.96,88,0,0,8000,1608074837,1608115045,0
1608069600,21.52,88,0,0,8000,1608074837,1608115045,0
1608073200,20.86,77,0,40,9000,1608074837,1608115045,0.712
1608076800,20.86,77,0,75,10000,1608074837,1608115045,11.072
1608080400,22.98,73,0,75,10000,1608074837,1608115045,32.44
1608084000,24.04,68,0,75,10000,1608074837,1608115045,81.608
1608087600,26.44,60,0,75,10000,1608074837,1608115045,114.32
1608091200,27.22,57,0,40,10000,1608074837,1608115045,121.9
1608094800,28.11,54,0,20,10000,1608074837,1608115045,121.732
1608098400,29.69,51,0,0,10000,1608074837,1608115045,108.136
1608102000,30.02,48,0,0,10000,1608074837,1608115045,84.588
1608105600,30.39,48,0,0,10000,1608074837,1608115045,56.116
1608109200,30.76,48,0,0,10000,1608074837,1608115045,23.92
1608112800,29.58,51,0,20,10000,1608074837,1608115045,2.204
1608116400,28.27,54,0,21,9000,1608074837,1608115045,0
1608120000,27.03,61,0,60,9000,1608074837,1608115045,0
1608123600,25.85,61,0,0,10000,1608074837,1608115045,0
1608127200,24.81,64,0,0,10000,1608074837,1608115045,0
1608130800,24.13,69,0,0,10000,1608074837,1608115045,0
1608134400,23.91,69,0,20,10000,1608074837,1608115045,0
1608138000,22.83,69,0,20,10000,1608161268,1608201470,0
1608141600,22.17,73,0,20,10000,1608161268,1608201470,0
1608145200,21.74,73,0,1,9000,1608161268,1608201470,0
1608148800,20.87,77,0,11,9000,1608161268,1608201470,0
1608152400,20.44,77,0,0,10000,1608161268,1608201470,0
1608156000,19.35,77,0,0,10000,1608161268,1608201470,0
1608159600,18.21,82,0,0,10000,1608161268,1608201470,1.876
1608163200,18.35,82,0,0,10000,1608161268,1608201470,26.888
1608166800,20.49,82,0,11,8000,1608161268,1608201470,60.496
1608170400,22.8,68,0,20,10000,1608161268,1608201470,92.652
1608174000,24.82,57,0,0,10000,1608161268,1608201470,112.74
1608177600,25.4,57,0,0,10000,1608161268,1608201470,122.908
1608181200,27.41,51,0,0,10000,1608161268,1608201470,120.884
1608184800,28.17,48,0,0,10000,1608161268,1608201470,111.064
1608188400,28.76,48,0,0,10000,1608161268,1608201470,90.212
1608192000,29.52,45,0,20,10000,1608161268,1608201470,58.436
1608195600,29.88,48,0,0,10000,1608161268,1608201470,24.136
1608199200,29.2,48,0,0,10000,1608161268,1608201470,1.928
1608202800,27.22,54,0,0,10000,1608161268,1608201470,0
1608206400,25.62,61,0,0,10000,1608161268,1608201470,0
1608210000,25.19,64,0,0,10000,1608161268,1608201470,0
1608213600,24.14,69,0,0,10000,1608161268,1608201470,0
1608217200,23.09,68,0,0,10000,1608161268,1608201470,0
1608220800,23.26,69,0,0,10000,1608161268,1608201470,0
1608224400,22.17,73,0,40,10000,1608247700,1608287896,0
1608228000,21.09,73,0,45,9000,1608247700,1608287896,0
1608231600,20.65,73,0,59,9000,1608247700,1608287896,0
1608235200,20,77,0,76,9000,1608247700,1608287896,0
1608238800,19.34,82,0,83,9000,1608247700,1608287896,0
1608242400,18.7,88,0,76,9000,1608247700,1608287896,0
1608246000,17.97,82,0,67,900,1608247700,1608287896,2.076
1608249600,18.1,82,0,58,8000,1608247700,1608287896,26.184
1608253200,18.22,77,0,0,10000,1608247700,1608287896,62.908
1608256800,23.76,68,0,0,10000,1608247700,1608287896,94.624
1608260400,24.78,64,0,0,10000,1608247700,1608287896,115.088
1608264000,25.78,53,0,0,10000,1608247700,1608287896,123.688
1608267600,26.48,50,0,0,10000,1608247700,1608287896,122.112
1608271200,27.23,48,0,0,10000,1608247700,1608287896,110.484
1608274800,28.45,48,0,0,10000,1608247700,1608287896,87.66
1608278400,27.97,48,0,20,10000,1608247700,1608287896,52.584
1608282000,28.12,45,0,20,10000,1608247700,1608287896,24.788
1608285600,27.41,48,0,20,10000,1608247700,1608287896,2.912
1608289200,26.25,51,0,0,10000,1608247700,1608287896,0
1608292800,25.74,57,0,0,10000,1608247700,1608287896,0
1608296400,24.14,64,0,0,10000,1608247700,1608287896,0
1608300000,23.34,64,0,67,9000,1608247700,1608287896,0
1608303600,22.29,68,0,0,10000,1608247700,1608287896,0
1608307200,22.17,68,0,83,9000,1608247700,1608287896,0
1608310800,21.09,68,0,86,9000,1608334130,1608374323,0
1608314400,20.65,60,0,84,9000,1608334130,1608374323,0
1608318000,19.56,64,0,82,9000,1608334130,1608374323,0
1608321600,18.91,68,0,61,9000,1608334130,1608374323,0
1608325200,18.26,72,0,56,9000,1608334130,1608374323,0
1608328800,17.61,77,0,63,9000,1608334130,1608374323,0
1608332400,16.54,77,0,0,10000,1608334130,1608374323,1.36
1608336000,16.79,77,0,64,8000,1608334130,1608374323,25.552
1608339600,16,77,0,20,10000,1608334130,1608374323,57.7
1608343200,20.97,63,0,0,10000,1608334130,1608374323,93.2
1608346800,22.22,60,0,0,10000,1608334130,1608374323,117.216
1608350400,24.59,53,0,0,10000,1608334130,1608374323,123.22
1608354000,25.26,50,0,0,10000,1608334130,1608374323,123.656
1608357600,25.76,50,0,20,10000,1608334130,1608374323,101.576
1608361200,26.46,47,0,20,10000,1608334130,1608374323,85.412
1608364800,26.65,47,0,20,10000,1608334130,1608374323,54.66
1608368400,26.44,47,0,0,10000,1608334130,1608374323,25.484
1608372000,26.08,47,0,0,10000,1608334130,1608374323,2.852
1608375600,24.7,53,0,0,10000,1608334130,1608374323,0
